provinceid,provincename,cityid,cityname,confirmed,suspected,dead,cured,updatetime
14,湖北,14,全省,45,0,2,0,01/16
14,湖北,14,全省,62,0,2,0,01/17
14,湖北,14,全省,121,0,3,0,01/18
14,湖北,14,全省,198,0,4,0,01/19
14,湖北,14,全省,270,11,6,25,01/20
14,湖北,14,全省,375,0,9,28,01/21
14,湖北,14,全省,444,279,17,28,01/22
14,湖北,14,全省,549,710,24,31,01/23
14,湖北,14,全省,729,1405,39,32,01/24
14,湖北,14,全省,1052,1887,52,42,01/25
14,湖北,14,全省,1423,4472,76,44,01/26
14,湖北,14,全省,2714,5324,100,47,01/27
14,湖北,14,全省,3554,6940,125,80,01/28
14,湖北,14,全省,4586,9033,162,90,01/29
14,湖北,14,全省,5806,11272,204,116,01/30
14,湖北,14,全省,7153,13577,249,166,01/31
14,湖北,14,全省,9074,14872,294,215,02/01
14,湖北,14,全省,11177,16898,350,295,02/02
14,湖北,14,全省,13522,18549,414,396,02/03
14,湖北,14,全省,16678,18447,479,520,02/04
14,湖北,14,全省,19665,19728,549,633,02/05
14,湖北,14,全省,22112,21261,618,817,02/06
14,湖北,14,全省,24953,22433,699,867,02/07
14,湖北,229,武汉,618,0,45,40,01/26
14,湖北,229,武汉,698,0,63,42,01/27
14,湖北,229,武汉,1590,0,85,47,01/28
14,湖北,229,武汉,1905,0,104,54,01/29
14,湖北,229,武汉,2261,0,129,54,01/30
14,湖北,229,武汉,2639,0,159,103,01/31
14,湖北,229,武汉,3215,0,192,106,02/01
14,湖北,229,武汉,4109,0,224,181,02/02
14,湖北,229,武汉,5142,0,265,228,02/03
14,湖北,229,武汉,6384,0,313,306,02/04
14,湖北,229,武汉,8351,0,362,374,02/05
14,湖北,229,武汉,10117,0,414,459,02/06
14,湖北,229,武汉,11618,0,478,542,02/07
14,湖北,229,武汉,13603,0,545,747,02/08
14,湖北,228,孝感,55,0,0,0,01/26
14,湖北,228,孝感,100,0,1,0,01/27
14,湖北,228,孝感,173,0,1,0,01/28
14,湖北,228,孝感,274,0,3,0,01/29
14,湖北,228,孝感,399,0,6,0,01/30
14,湖北,228,孝感,541,0,9,2,01/31
14,湖北,228,孝感,628,0,12,2,02/01
14,湖北,228,孝感,749,0,14,2,02/02
14,湖北,228,孝感,918,0,14,2,02/03
14,湖北,228,孝感,1120,0,17,4,02/04
14,湖北,228,孝感,1462,0,18,6,02/05
14,湖北,228,孝感,1886,0,25,30,02/06
14,湖北,228,孝感,2141,0,25,30,02/07
14,湖北,228,孝感,2313,0,26,42,02/08
14,湖北,230,黄冈,122,0,2,2,01/26
14,湖北,230,黄冈,154,0,4,2,01/27
14,湖北,230,黄冈,213,0,4,2,01/28
14,湖北,230,黄冈,324,0,5,2,01/29
14,湖北,230,黄冈,496,0,12,5,01/30
14,湖北,230,黄冈,573,0,12,6,01/31
14,湖北,230,黄冈,726,0,14,17,02/01
14,湖北,230,黄冈,1002,0,15,27,02/02
14,湖北,230,黄冈,1246,0,17,32,02/03
14,湖北,230,黄冈,1422,0,19,41,02/04
14,湖北,230,黄冈,1645,0,25,52,02/05
14,湖北,230,黄冈,1807,0,29,64,02/06
14,湖北,230,黄冈,1897,0,32,81,02/07
14,湖北,230,黄冈,2041,0,36,105,02/08
14,湖北,227,随州,36,0,0,0,01/26
14,湖北,227,随州,52,0,0,0,01/27
14,湖北,227,随州,70,0,0,0,01/28
14,湖北,227,随州,116,0,0,0,01/29
14,湖北,227,随州,143,0,0,0,01/30
14,湖北,227,随州,228,0,0,0,01/31
14,湖北,227,随州,304,0,1,0,02/01
14,湖北,227,随州,384,0,3,3,02/02
14,湖北,227,随州,458,0,5,3,02/03
14,湖北,227,随州,641,0,6,3,02/04
14,湖北,227,随州,706,0,8,9,02/05
14,湖北,227,随州,834,0,9,9,02/06
14,湖北,227,随州,915,0,9,9,02/07
14,湖北,227,随州,953,0,9,23,02/08
14,湖北,240,荆州,33,0,2,0,01/26
14,湖北,240,荆州,47,0,2,1,01/27
14,湖北,240,荆州,71,0,2,1,01/28
14,湖北,240,荆州,101,0,2,1,01/29
14,湖北,240,荆州,151,0,3,1,01/30
14,湖北,240,荆州,221,0,3,6,01/31
14,湖北,240,荆州,287,0,4,2,02/01
14,湖北,240,荆州,333,0,4,4,02/02
14,湖北,240,荆州,499,0,6,6,02/03
14,湖北,240,荆州,613,0,7,7,02/04
14,湖北,240,荆州,713,0,9,12,02/05
14,湖北,240,荆州,801,0,10,19,02/06
14,湖北,240,荆州,885,0,10,24,02/07
14,湖北,240,荆州,941,0,11,31,02/08
14,湖北,226,襄阳,8,0,0,0,01/26
14,湖北,226,襄阳,36,0,0,0,01/27
14,湖北,226,襄阳,70,0,0,0,01/28
14,湖北,226,襄阳,131,0,0,0,01/29
14,湖北,226,襄阳,163,0,0,0,01/30
14,湖北,226,襄阳,286,0,0,0,01/31
14,湖北,226,襄阳,347,0,0,0,02/01
14,湖北,226,襄阳,441,0,0,0,02/02
14,湖北,226,襄阳,548,0,0,1,02/03
14,湖北,226,襄阳,632,0,1,7,02/04
14,湖北,226,襄阳,735,0,2,7,02/05
14,湖北,226,襄阳,787,0,2,25,02/06
14,湖北,226,襄阳,838,0,3,30,02/07
14,湖北,226,襄阳,907,0,5,34,02/08
14,湖北,238,黄石,31,0,1,0,01/26
14,湖北,238,黄石,36,0,1,0,01/27
14,湖北,238,黄石,53,0,1,0,01/28
14,湖北,238,黄石,86,0,1,0,01/29
14,湖北,238,黄石,113,49,1,0,01/30
14,湖北,238,黄石,168,49,1,0,01/31
14,湖北,238,黄石,209,0,2,1,02/01
14,湖北,238,黄石,252,0,2,8,02/02
14,湖北,238,黄石,334,0,2,9,02/03
14,湖北,238,黄石,405,0,2,10,02/04
14,湖北,238,黄石,509,0,2,23,02/05
14,湖北,238,黄石,566,0,2,25,02/06
14,湖北,238,黄石,635,0,2,40,02/07
14,湖北,238,黄石,703,0,2,48,02/08
14,湖北,232,宜昌,20,0,1,0,01/26
14,湖北,232,宜昌,31,0,1,0,01/27
14,湖北,232,宜昌,51,0,1,0,01/28
14,湖北,232,宜昌,63,0,1,0,01/29
14,湖北,232,宜昌,117,0,1,0,01/30
14,湖北,232,宜昌,167,0,1,0,01/31
14,湖北,232,宜昌,276,0,1,0,02/01
14,湖北,232,宜昌,353,0,1,0,02/02
14,湖北,232,宜昌,392,0,1,2,02/03
14,湖北,232,宜昌,452,0,3,2,02/04
14,湖北,232,宜昌,496,0,4,9,02/05
14,湖北,232,宜昌,563,0,6,9,02/06
14,湖北,232,宜昌,610,0,7,15,02/07
14,湖北,232,宜昌,633,0,8,25,02/08
14,湖北,233,荆门,38,0,1,0,01/26
14,湖北,233,荆门,90,0,3,0,01/27
14,湖北,233,荆门,114,0,3,0,01/28
14,湖北,233,荆门,142,0,4,0,01/29
14,湖北,233,荆门,191,0,4,0,01/30
14,湖北,233,荆门,227,0,5,0,01/31
14,湖北,233,荆门,251,0,5,1,02/01
14,湖北,233,荆门,329,0,7,3,02/02
14,湖北,233,荆门,345,0,11,6,02/03
14,湖北,233,荆门,400,0,14,6,02/04
14,湖北,233,荆门,422,0,16,16,02/05
14,湖北,233,荆门,508,0,17,21,02/06
14,湖北,233,荆门,553,0,17,24,02/07
14,湖北,233,荆门,588,0,18,36,02/08
14,湖北,237,鄂州,1,0,0,0,01/26
14,湖北,237,鄂州,20,0,0,0,01/27
14,湖北,237,鄂州,57,0,0,0,01/28
14,湖北,237,鄂州,84,0,1,0,01/29
14,湖北,237,鄂州,123,0,2,0,01/30
14,湖北,237,鄂州,189,0,6,0,01/31
14,湖北,237,鄂州,227,0,9,0,02/01
14,湖北,237,鄂州,278,0,13,2,02/02
14,湖北,237,鄂州,306,0,15,2,02/03
14,湖北,237,鄂州,332,0,18,4,02/04
14,湖北,237,鄂州,382,0,18,6,02/05
14,湖北,237,鄂州,423,0,18,8,02/06
14,湖北,237,鄂州,471,0,18,9,02/07
14,湖北,237,鄂州,569,0,20,33,02/08
14,湖北,241,咸宁,43,0,0,0,01/26
14,湖北,241,咸宁,64,0,0,0,01/27
14,湖北,241,咸宁,91,0,0,0,01/28
14,湖北,241,咸宁,112,0,0,0,01/29
14,湖北,241,咸宁,130,0,0,0,01/30
14,湖北,241,咸宁,166,0,0,0,01/31
14,湖北,241,咸宁,206,0,0,1,02/01
14,湖北,241,咸宁,246,0,0,1,02/02
14,湖北,241,咸宁,296,0,0,1,02/03
14,湖北,241,咸宁,348,0,0,1,02/04
14,湖北,241,咸宁,384,0,0,2,02/05
14,湖北,241,咸宁,399,0,1,5,02/06
14,湖北,241,咸宁,443,0,1,8,02/07
14,湖北,241,咸宁,476,0,2,16,02/08
14,湖北,225,十堰,20,0,0,0,01/26
14,湖北,225,十堰,40,0,0,0,01/27
14,湖北,225,十堰,65,0,0,0,01/28
14,湖北,225,十堰,88,0,0,0,01/29
14,湖北,225,十堰,119,0,0,0,01/30
14,湖北,225,十堰,150,0,0,0,01/31
14,湖北,225,十堰,177,0,0,0,02/01
14,湖北,225,十堰,212,0,0,1,02/02
14,湖北,225,十堰,256,0,0,2,02/03
