provinceid,provincename,cityid,cityname,confirmed,suspected,dead,cured,time
14,湖北,14,全省,45,0,2,0,2020/01/16
14,湖北,14,全省,62,0,2,0,2020/01/17
14,湖北,14,全省,121,0,3,0,2020/01/18
14,湖北,14,全省,198,0,4,0,2020/01/19
14,湖北,14,全省,270,11,6,25,2020/01/20
14,湖北,14,全省,375,0,9,28,2020/01/21
14,湖北,14,全省,444,279,17,28,2020/01/22
14,湖北,14,全省,549,710,24,31,2020/01/23
14,湖北,14,全省,729,1405,39,32,2020/01/24
14,湖北,14,全省,1052,1887,52,42,2020/01/25
14,湖北,14,全省,1423,4472,76,44,2020/01/26
14,湖北,14,全省,2714,5324,100,47,2020/01/27
14,湖北,14,全省,3554,6940,125,80,2020/01/28
14,湖北,14,全省,4586,9033,162,90,2020/01/29
14,湖北,14,全省,5806,11272,204,116,2020/01/30
14,湖北,14,全省,7153,13577,249,166,2020/01/31
14,湖北,14,全省,9074,14872,294,215,2020/02/01
14,湖北,14,全省,11177,16898,350,295,2020/02/02
14,湖北,14,全省,13522,18549,414,396,2020/02/03
14,湖北,14,全省,16678,18447,479,520,2020/02/04
14,湖北,14,全省,19665,19728,549,633,2020/02/05
14,湖北,14,全省,22112,21261,618,817,2020/02/06
14,湖北,14,全省,24953,22433,699,867,2020/02/07
14,湖北,14,全省,27013,23638,780,1218,2020/02/08
14,湖北,14,全省,29631,18438,871,1506,2020/02/09
14,湖北,14,全省,31728,16687,974,1854,2020/02/10
14,湖北,14,全省,33366,11295,1068,2310,2020/02/11
14,湖北,14,全省,48206,9028,1310,2686,2020/02/12
14,湖北,14,全省,51986,6169,1318,3459,2020/02/13
14,湖北,14,全省,54406,5534,1457,3900,2020/02/14
14,湖北,14,全省,56249,5243,1596,4821,2020/02/15
14,湖北,14,全省,58182,4826,1696,5666,2020/02/16
14,湖北,14,全省,59989,4194,1789,6693,2020/02/17
14,湖北,14,全省,61682,3462,1921,7943,2020/02/18
14,湖北,14,全省,62031,3456,2029,9336,2020/02/19
14,湖北,14,全省,62031,0,2029,10521,2020/02/20
14,湖北,229,武汉,618,0,45,40,2020/01/26
14,湖北,229,武汉,698,0,63,42,2020/01/27
14,湖北,229,武汉,1590,0,85,47,2020/01/28
14,湖北,229,武汉,1905,0,104,54,2020/01/29
14,湖北,229,武汉,2261,0,129,54,2020/01/30
14,湖北,229,武汉,2639,0,159,103,2020/01/31
14,湖北,229,武汉,3215,0,192,106,2020/02/01
14,湖北,229,武汉,4109,0,224,181,2020/02/02
14,湖北,229,武汉,5142,0,265,228,2020/02/03
14,湖北,229,武汉,6384,0,313,306,2020/02/04
14,湖北,229,武汉,8351,0,362,374,2020/02/05
14,湖北,229,武汉,10117,0,414,459,2020/02/06
