confirmed,suspected,dead,cured,time
5,0,0,0,2020/01/20
10,0,0,0,2020/01/21
14,0,0,0,2020/01/22
26,0,0,0,2020/01/23
36,0,0,0,2020/01/24
51,0,0,0,2020/01/25
67,0,0,2,2020/01/26
80,0,1,2,2020/01/27
96,0,1,4,2020/01/28
112,0,1,4,2020/01/29
132,0,1,4,2020/01/30
156,0,1,5,2020/01/31
183,0,1,9,2020/02/01
212,0,1,9,2020/02/02
228,141,1,12,2020/02/03
253,160,1,23,2020/02/04
274,170,1,24,2020/02/05
297,157,1,38,2020/02/06
315,163,2,33,2020/02/07
326,184,2,34,2020/02/08
337,207,2,37,2020/02/09
342,236,3,44,2020/02/10
352,218,3,48,2020/02/11
366,194,3,56,2020/02/12
372,167,3,69,2020/02/13
375,155,4,80,2020/02/14
380,122,4,98,2020/02/15
