confirmed,suspected,dead,cured,close_contact,under_medical_observation,quit_medical_observation,time
270,0,6,25,1070,331,739,2020/1/20
375,0,9,28,1181,426,755,2020/1/21
444,0,17,28,2556,1693,863,2020/1/22
549,0,24,31,3653,2776,877,2020/1/23
729,0,39,32,5682,4711,971,2020/1/24
1052,0,52,42,7989,6904,1085,2020/1/25
1423,0,76,44,10394,9103,1291,2020/1/26
2714,0,100,47,16904,15559,1345,2020/1/27
3554,0,125,80,22095,20366,1729,2020/1/28
4586,0,162,90,28780,26632,2148,2020/1/29
5806,0,204,116,35144,32340,2804,2020/1/30
7153,0,249,166,41075,36838,4237,2020/1/31
9074,0,294,215,48571,43121,5450,2020/2/1
11177,0,350,295,56088,48171,7917,2020/2/2
13522,0,414,396,68988,58544,10444,2020/2/3
16678,0,479,520,81039,66764,14275,2020/2/4
19665,0,549,633,90997,64127,26870,2020/2/5
22112,0,618,817,101599,64057,37542,2020/2/6
24953,0,699,1115,114044,67802,46242,2020/2/7
27100,23638,780,1439,123827,70438,53389,2020/2/8
29631,18438,871,1795,132555,73127,59428,2020/2/9
31728,16687,974,2222,144279,76207,68072,2020/2/10
33366,15514,1068,2639,152251,77195,75056,2020/2/11
48206,9028,1310,3441,158377,77308,81069,2020/2/12
51986,6169,1426,4131,166818,77685,89133,2020/2/13
54406,5534,1457,4774,176148,77323,98825,2020/2/14
56249,5243,1596,5623,183183,74261,108922,2020/2/15
58182,4826,1696,6639,191434,71613,119821,2020/2/16
59989,4194,1789,7862,199322,69270,130052,2020/2/17
61682,3462,1921,9128,206087,68345,137742,2020/2/18
62031,3456,2029,10337,214093,65525,148568,2020/2/19
62442,4084,2144,11788,225696,63126,162570,2020/2/20
63454,4490,2250,13557,234217,62787,171430,2020/2/21
64084,3363,2346,15299,240937,61181,179756,2020/2/22
64287,2770,2495,16738,246781,58575,188206,2020/2/23
64786,2292,2563,18854,251265,53474,197791,2020/2/24
