confirmed,suspected,dead,cured,time
258,0,6,25,2020/1/20
363,0,9,28,2020/1/21
425,0,17,28,2020/1/22
495,0,23,31,2020/1/23
572,0,38,32,2020/1/24
618,0,45,40,2020/1/25
698,0,63,42,2020/1/26
1590,0,85,45,2020/1/27
1905,0,104,78,2020/1/28
2261,0,129,85,2020/1/29
2639,0,159,106,2020/1/30
3215,0,192,142,2020/1/31
4109,0,224,174,2020/2/1
5142,0,265,227,2020/2/2
6384,0,313,306,2020/2/3
8351,0,362,374,2020/2/4
10117,0,414,459,2020/2/5
11618,0,478,542,2020/2/6
13603,0,545,747,2020/2/7
14982,0,608,877,2020/2/8
16902,0,681,1045,2020/2/9
18454,0,748,1207,2020/2/10
