<<<<<<< HEAD
confirmed,new_confirmed,suspected,new_suspected,dead,new_dead,cured,new_cured,close_contact,under_medical_observation,quit_medical_observation,time
291,77,54,27,6,6,0,0,1739,922,817,2020/1/20
440,149,136,82,9,3,0,0,2197,1349,848,2020/1/21
571,131,393,257,17,8,0,0,5897,4928,969,2020/1/22
830,259,1072,680,25,8,34,6,9507,8420,1087,2020/1/23
1287,444,1965,1118,41,16,38,3,15197,13967,1230,2020/1/24
1975,688,2684,1309,56,15,49,11,23431,21556,1875,2020/1/25
2744,769,5794,3806,80,24,51,2,32799,30453,2346,2020/1/26
4515,1771,6973,2077,106,26,60,9,47833,44132,3701,2020/1/27
5974,1459,9239,3248,132,26,103,43,65537,59990,5547,2020/1/28
7711,1737,12167,4148,170,38,124,21,88693,81947,6746,2020/1/29
9692,1982,15238,4812,213,43,171,47,113579,102427,11152,2020/1/30
11791,2102,17988,5019,259,46,243,72,136987,118478,18509,2020/1/31
14380,2590,19544,4562,304,45,328,85,163844,137594,26250,2020/2/1
17205,2829,21558,5173,361,57,475,147,189583,152700,36883,2020/2/2
20438,3235,23214,5072,425,64,632,157,221015,171329,49686,2020/2/3
24324,3887,23260,3971,490,65,892,262,252154,185555,66599,2020/2/4
28018,3694,24702,5328,563,73,1153,261,282813,186354,96459,2020/2/5
31161,3143,26395,4833,636,73,1540,387,314028,186045,127983,2020/2/6
34546,3399,27657,4214,722,86,2050,510,345498,189660,155838,2020/2/7
37198,2656,28942,3916,811,89,2649,600,371905,188183,183722,2020/2/8
40171,3062,23589,4008,908,97,3281,632,399487,187518,211969,2020/2/9
42638,2478,21675,3536,1016,108,3996,715,428438,187728,240710,2020/2/10
44653,2015,16067,3342,1113,97,4740,744,451462,185037,266425,2020/2/11
52526,15152,13435,2807,1367,254,5911,1171,471531,181386,290145,2020/2/12
55748,5090,10109,2450,1380,121,6723,1081,493067,177984,315083,2020/2/13
=======
confirmed,new_confirmed,suspected,new_suspected,dead,new_dead,cured,new_cured,close_contact,under_medical_observation,quit_medical_observation,time
291,77,54,27,6,6,0,0,1739,922,817,2020/1/20
440,149,136,82,9,3,0,0,2197,1349,848,2020/1/21
571,131,393,257,17,8,0,0,5897,4928,969,2020/1/22
830,259,1072,680,25,8,34,6,9507,8420,1087,2020/1/23
1287,444,1965,1118,41,16,38,3,15197,13967,1230,2020/1/24
1975,688,2684,1309,56,15,49,11,23431,21556,1875,2020/1/25
2744,769,5794,3806,80,24,51,2,32799,30453,2346,2020/1/26
4515,1771,6973,2077,106,26,60,9,47833,44132,3701,2020/1/27
5974,1459,9239,3248,132,26,103,43,65537,59990,5547,2020/1/28
7711,1737,12167,4148,170,38,124,21,88693,81947,6746,2020/1/29
9692,1982,15238,4812,213,43,171,47,113579,102427,11152,2020/1/30
11791,2102,17988,5019,259,46,243,72,136987,118478,18509,2020/1/31
14380,2590,19544,4562,304,45,328,85,163844,137594,26250,2020/2/1
17205,2829,21558,5173,361,57,475,147,189583,152700,36883,2020/2/2
20438,3235,23214,5072,425,64,632,157,221015,171329,49686,2020/2/3
24324,3887,23260,3971,490,65,892,262,252154,185555,66599,2020/2/4
28018,3694,24702,5328,563,73,1153,261,282813,186354,96459,2020/2/5
31161,3143,26395,4833,636,73,1540,387,314028,186045,127983,2020/2/6
34546,3399,27657,4214,722,86,2050,510,345498,189660,155838,2020/2/7
37198,2656,28942,3916,811,89,2649,600,371905,188183,183722,2020/2/8
40171,3062,23589,4008,908,97,3281,632,399487,187518,211969,2020/2/9
42638,2478,21675,3536,1016,108,3996,715,428438,187728,240710,2020/2/10
44653,2015,16067,3342,1113,97,4740,744,451462,185037,266425,2020/2/11
52526,15152,13435,2807,1367,254,5911,1171,471531,181386,290145,2020/2/12
55748,5090,10109,2450,1380,121,6723,1081,493067,177984,315083,2020/2/13
>>>>>>> 878a1898da71979451699a24a1a5acb9f2973c36
