confirmed,suspected,dead,cured,time
2,7,0,0,2020/01/20
9,10,0,0,2020/01/21
16,16,0,0,2020/01/22
20,34,0,0,2020/01/23
33,72,0,0,2020/01/24
40,95,1,1,2020/01/25
53,90,1,1,2020/01/26
66,129,1,3,2020/01/27
80,167,1,4,2020/01/28
101,180,1,5,2020/01/29
128,164,1,5,2020/01/30
153,167,1,9,2020/01/31
177,168,1,10,2020/02/01
193,173,1,10,2020/02/02
208,168,1,10,2020/02/03
233,194,1,12,2020/02/04
254,196,1,15,2020/02/05
269,166,1,25,2020/02/06
281,181,1,30,2020/02/07
292,205,1,41,2020/02/08
295,223,1,44,2020/02/09
302,180,1,48,2020/02/10
306,177,1,53,2020/02/11
313,183,1,57,2020/02/12
318,156,1,62,2020/02/13
326,143,1,90,2020/02/14
328,142,1,124,2020/02/15
331,117,1,140,2020/02/16
333,97,1,161,2020/02/17
333,127,1,177,2020/02/18
333,115,2,186,2020/02/19
335,0,3,249,2020/02/23
